Mix, Pure, Crude (M or P or C);Freq. (MHz);Eta (cP);T2LM (ms);T (K);TE (ms);;;;;;;;;;;;;;
C;2;2242,15;2,02;303,15;0,1;;;;;;;;;;;;;;
C;2;30724,07783;0,988897;312,15;0,24;;;;;;;;;;;;;;
C;2;6217,946533;1,467505;327,15;0,24;;;;;;;;;;;;;;
C;2;200,5339416;6,19951;376,15;0,24;;;;;;;;;;;;;;
C;2;88,62748388;10,880354;394,15;0,24;;;;;;;;;;;;;;
C;2;18564,07;0,62;303,15;0,1;;;;;;;;;;;;;;
C;2;11953,49;1,278508592;303,15;0,3;;;;;;;;;;;;;;
C;2;109,2978269;9,181639;389,15;0,24;;;;;;;;;;;;;;
C;2;718,3295311;3,049576;354,15;0,24;;;;;;;;;;;;;;
C;2;6393,83;1,32;303,15;0,1;;;;;;;;;;;;;;
C;2;9,22;156,80;303,15;0,1;;;;;;;;;;;;;;
C;2;6,18;320,41;303,15;0,1;;;;;;;;;;;;;;
C;2;112420,35;0,49;303,15;0,1;;;;;;;;;;;;;;
C;2;67,54;21,74495001;323,15;0,3;;;;;;;;;;;;;;
C;2;48,48;51,87;303,15;0,1;;;;;;;;;;;;;;
C;2;19390,47312;1,103675;316,15;0,24;;;;;;;;;;;;;;
C;2;1217,71;2,98219998;323,15;0,3;;;;;;;;;;;;;;
C;2;12096,85;1,783098655;303,15;0,3;;;;;;;;;;;;;;
C;2;6,18;181,39;303,15;0,1;;;;;;;;;;;;;;
C;2;18619,73;1,040857663;303,15;0,3;;;;;;;;;;;;;;
C;2;96,23844464;9,996912;392,15;0,24;;;;;;;;;;;;;;
C;2;0,87;1239,90;303,15;0,1;;;;;;;;;;;;;;
C;2;4287,433953;1,616356;331,15;0,24;;;;;;;;;;;;;;
C;2;363,2190573;4,293824;365,15;0,24;;;;;;;;;;;;;;
C;2;5793,94;0,96;303,15;0,1;;;;;;;;;;;;;;
C;2;96112,6778;0,746594;303,15;0,24;;;;;;;;;;;;;;
C;2;23348,59;0,71;303,15;0,1;;;;;;;;;;;;;;
C;2;64,92915394;13,921904;402,15;0,24;;;;;;;;;;;;;;
C;2;3919,360494;1,68405;332,15;0,24;;;;;;;;;;;;;;
C;2;3611,608;1,695523;333,15;0,24;;;;;;;;;;;;;;
C;2;14,89112549;56,600574;454,15;0,24;;;;;;;;;;;;;;
C;2;136,5122974;7,735603;384,15;0,24;;;;;;;;;;;;;;
C;2;56811,12518;0,837701;307,15;0,24;;;;;;;;;;;;;;
C;2;84023,58492;0,762779;304,15;0,24;;;;;;;;;;;;;;
C;2;22,10615355;40,679355;437,15;0,24;;;;;;;;;;;;;;
C;2;6,61;245,30;303,15;0,1;;;;;;;;;;;;;;
C;2;1562,00;2,10;303,15;0,1;;;;;;;;;;;;;;
