,T2LM (ms),T (K),TE (ms),Eta (cP)
0,1239.9,303.15,0.1,0.87
1,1161.49,303.15,0.1,1.03
2,919.5,303.15,0.1,1.1
3,1088.39,303.15,0.1,1.26
4,781.08,303.15,0.1,1.69
5,641.24,303.15,0.1,2.44
6,476.0,303.15,0.1,3.4
7,643.72,303.15,0.1,3.64
8,417.03,303.15,0.1,4.02
9,365.01,303.15,0.1,4.29
10,214.08,303.15,0.1,5.24
11,391.16,303.15,0.1,5.42
12,271.04,303.15,0.1,6.18
13,181.39,303.15,0.1,6.18
14,320.41,303.15,0.1,6.18
15,245.3,303.15,0.1,6.61
16,207.71,303.15,0.1,7.3
17,419.99,303.15,0.1,8.34
18,175.98,303.15,0.1,8.62
19,130.21,303.15,0.1,8.62
20,110.19,303.15,0.1,8.91
21,246.01,303.15,0.1,8.91
22,164.8,303.15,0.1,9.85
23,99.82,303.15,0.1,10.52
24,81.101726,468.15,0.24,11.27628488
25,230.6,303.15,0.1,12.07
26,77.551393,464.15,0.24,12.16122758
27,74.10176,463.15,0.24,12.39892741
28,70.1,303.15,0.1,12.8
29,96.72,303.15,0.1,12.84
30,68.464068,461.15,0.24,12.8958239
31,67.743349,458.15,0.24,13.69906442
32,51.24,303.15,0.1,13.72
33,64.437437,456.15,0.24,14.2766843
34,243.7,303.15,0.1,14.8
35,118.3,303.15,0.1,15.2
36,56.854687,452.15,0.24,15.54534756
37,74.14,303.15,0.1,15.67
38,126.66,303.15,0.1,15.67
39,54.9,303.15,0.1,16.75
40,51.856256,448.15,0.24,16.98642324
41,110.9,303.15,0.1,17.32
42,49.612598,447.15,0.24,17.3770134
43,43.325934,443.15,0.24,19.07642353
44,43.7,303.15,0.1,21.9
45,40.679355,437.15,0.24,22.10615355
46,45.3,303.15,0.1,22.5
47,36.574821,436.15,0.24,22.67658499
48,35.432346,434.15,0.24,23.88132353
49,43.6,303.15,0.1,24.95
50,31.279207,430.15,0.24,26.5748011
51,29.714802,427.15,0.24,28.88004184
52,26.152906,424.15,0.24,31.47069207
53,24.476611,422.15,0.24,33.37780977
54,65.4,303.15,0.1,37.17
55,22.273907,418.15,0.24,37.69267332
56,37.04,303.15,0.1,38.42
57,30.31,303.15,0.1,39.72
58,21.519922,416.15,0.24,40.13609067
59,20.076506,415.15,0.24,41.43818294
60,19.133717,413.15,0.24,44.21761994
61,17.985318,411.15,0.24,47.25218858
62,51.87,303.15,0.1,48.48
63,30.9,303.15,0.1,51.2
64,15.812537,407.15,0.24,54.20516945
65,46.5,303.15,0.1,55.6
66,15.141535,405.15,0.24,58.19280778
67,43.98,303.15,0.1,61.17
68,14.075309,403.15,0.24,62.575259
69,13.921904,402.15,0.24,64.92915394
70,21.74495001,323.15,0.3,67.54
71,30.46,303.15,0.1,67.58
72,13.250641,400.15,0.24,69.99505936
73,12.817998,399.15,0.24,72.72154879
74,12.086367,398.15,0.24,75.58755875
75,11.247342,396.15,0.24,81.77300428
76,11.098933,395.15,0.24,85.11143656
77,10.880354,394.15,0.24,88.62748388
78,9.994868,393.15,0.24,92.33244462
79,9.996912,392.15,0.24,96.23844464
80,25.03,303.15,0.1,107.58
81,9.181639,389.15,0.24,109.2978269
82,8.711271,388.15,0.24,114.1483133
83,8.51758,386.15,0.24,124.6981436
84,5.38,303.15,0.1,135.73
85,7.735603,384.15,0.24,136.5122974
86,7.58655,383.15,0.24,142.9491516
87,6.700307,380.15,0.24,164.6904849
88,6.584669,379.15,0.24,172.8470481
89,6.261138,378.15,0.24,181.5141483
90,6.303881,377.15,0.24,190.7294864
91,8.59,303.15,0.1,193.6
92,7.237570696,323.15,0.3,199.34
93,6.19951,376.15,0.24,200.5339416
94,12.0585898,323.15,0.3,205.44
95,5.35095,372.15,0.24,246.5894398
96,5.196448,371.15,0.24,260.0867307
97,5.124568,370.15,0.24,274.5043279
98,9.114581212,303.15,0.3,278.48
99,4.871118,369.15,0.24,289.9157648
100,4.651358,368.15,0.24,306.4012532
101,10.50751822,323.15,0.3,325.12
102,7.2,303.15,0.1,332.6
103,10.13670793,323.15,0.3,335.36
104,4.37594,366.15,0.24,342.9527562
105,4.293824,365.15,0.24,363.2190573
106,4.117001,364.15,0.24,384.9617493
107,7.387950688,323.15,0.3,413.95
108,6.43,303.15,0.1,419.83
109,2.8,303.15,0.1,421.3
110,7.879900301,323.15,0.3,424.75
111,6.124284407,323.15,0.3,430.69
112,3.991119,362.15,0.24,433.3899559
113,5.807584841,323.15,0.3,442.39
114,4.44,303.15,0.1,442.6
115,5.484273831,323.15,0.3,460.29
116,3.916093,361.15,0.24,460.3637515
117,6.061510168,323.15,0.3,464.38
118,3.704761,360.15,0.24,489.3932344
119,3.584795,359.15,0.24,520.6604382
120,5.07,303.15,0.1,554.25
121,3.492799,358.15,0.24,554.3656178
122,9.166074972,303.15,0.3,562.35
123,3.369229,357.15,0.24,590.7292747
124,3.167696,355.15,0.24,672.4291714
125,3.049576,354.15,0.24,718.3295311
126,5.657670786,303.15,0.3,751.79
127,2.999033,353.15,0.24,766.4348533
128,3.436066656,303.15,0.3,786.26
129,3.1,303.15,0.1,789.05
130,2.830638,351.15,0.24,880.2743865
131,3.67,303.15,0.1,931.58
132,2.752673,350.15,0.24,943.6782333
133,4.310919151,303.15,0.3,981.16
134,2.730814,349.15,0.24,1012.575429
135,3.56,303.15,0.1,1023.16
136,2.606547,348.15,0.24,1087.513858
137,2.389842,345.15,0.24,1355.02291
138,3.208792385,323.15,0.3,1372.16
139,3.636106178,303.15,0.3,1440.85
140,2.587634515,303.15,0.3,1452.37
141,2.1,303.15,0.1,1562.0
142,2.284544,343.15,0.24,1576.753718
143,2.164638,342.15,0.24,1703.477373
144,2.137677,341.15,0.24,1842.303438
145,3.202930287,323.15,0.3,1855.15
146,2.620962903,303.15,0.3,1965.23
147,2.973744675,303.15,0.3,2089.6
148,3.500231954,323.15,0.3,2091.52
149,3.500231954,323.15,0.3,2091.52
150,2.38,303.15,0.1,2158.99
151,2.040604,339.15,0.24,2161.710544
152,2.02,303.15,0.1,2242.15
153,1.966877,338.15,0.24,2345.440693
154,2.52935497,323.15,0.3,2455.68
155,2.52935497,323.15,0.3,2455.68
156,1.943204,337.15,0.24,2547.618096
157,1.882315,336.15,0.24,2770.353534
158,2.606177787,323.15,0.3,2967.89
159,1.812677,335.15,0.24,3016.027297
160,1.591326884,323.15,0.3,3584.0
161,1.695523,333.15,0.24,3611.608
162,1.68405,332.15,0.24,3919.360494
163,1.429717511,323.15,0.3,4104.53
164,1.429717511,323.15,0.3,4104.53
165,1.944709819,303.15,0.3,4372.5
166,1.56,303.15,0.1,4587.01
167,1.595249,330.15,0.24,4695.938582
168,1.69,303.15,0.1,5237.44
169,1.513536,328.15,0.24,5655.065803
170,1.488701483,323.15,0.3,5802.7
171,1.488701483,323.15,0.3,5802.7
172,1.388230126,303.15,0.3,5990.4
173,1.467505,327.15,0.24,6217.946533
174,1.16,303.15,0.1,6956.1
175,1.352035,324.15,0.24,8332.973342
176,1.818644523,303.15,0.3,8437.76
177,1.309196,323.15,0.24,9212.836786
178,1.294167,322.15,0.24,10200.20328
179,1.449683107,303.15,0.3,10752.0
180,0.76,303.15,0.1,11187.81
181,1.249955,321.15,0.24,11309.85898
182,1.783098655,303.15,0.3,12096.85
183,0.79,303.15,0.1,12578.82
184,1.199388,319.15,0.24,13966.80852
185,1.137216,318.15,0.24,15556.49107
186,1.112104,317.15,0.24,17354.20454
187,1.08,303.15,0.1,17569.62
188,1.405971014,303.15,0.3,21580.8
189,1.060551,315.15,0.24,21700.76286
190,0.71,303.15,0.1,23348.59
191,1.25029623,323.15,0.3,24345.6
192,1.25029623,323.15,0.3,24345.6
193,1.004822,313.15,0.24,27095.63457
194,0.988897,312.15,0.24,30724.07783
195,0.927015,311.15,0.24,34618.24654
196,0.909135,310.15,0.24,39075.05099
197,0.885833,309.15,0.24,44185.14036
198,0.48,303.15,0.1,49343.58
199,0.857257,308.15,0.24,50055.21634
200,0.43,303.15,0.1,50389.0
201,0.837701,307.15,0.24,56811.12518
202,0.822881,306.15,0.24,64601.59226
203,0.33,303.15,0.1,82477.91
204,0.45,303.15,0.1,96716.7
205,0.49,303.15,0.1,112420.35
206,0.709086,301.15,0.24,126538.141
207,0.45,303.15,0.1,137000.0
208,0.660575,300.15,0.24,145651.9061
209,0.5,303.15,0.1,415500.0
210,0.23,303.15,0.1,867634.81
